transactionId,timestamp,amount,paymentType,merchantId,merchantName,merchantCategory,customerId,location,status
TXN10001,2025-11-10T09:15:23,1249.50,UPI,M1001,BigBazaar,Retail,C2001,Mumbai,COMPLETED
TXN10002,2025-11-10T09:17:45,499.00,CARD,M1002,Swiggy,FoodDelivery,C2002,Bangalore,COMPLETED
TXN10003,2025-11-10T09:20:10,9999.00,NETBANKING,M1003,TataCliq,ECommerce,C2003,Delhi,FAILED
TXN10004,2025-11-10T09:30:55,150.00,UPI,M1004,ChaiPoint,Beverages,C2004,Chennai,COMPLETED
TXN10005,2025-11-10T09:42:30,2700.00,WALLET,M1005,Amazon,Marketplace,C2005,Hyderabad,REFUNDED
TXN10006,2025-11-10T09:50:10,350.00,UPI,M1004,ChaiPoint,Beverages,C2001,Mumbai,COMPLETED
TXN10007,2025-11-10T10:01:25,15800.00,CARD,M1006,Croma,Electronics,C2006,Pune,COMPLETED
TXN10008,2025-11-10T10:12:40,125.00,UPI,M1007,CCD,Beverages,C2007,Bangalore,FAILED
TXN10009,2025-11-10T10:20:00,5450.00,NETBANKING,M1008,Flipkart,ECommerce,C2008,Delhi,COMPLETED
TXN10010,2025-11-10T10:25:15,950.00,UPI,M1009,Dominos,FoodDelivery,C2009,Chennai,COMPLETED
